time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-27T15:13:22.160Z,35.7368333,-117.6218333,10.27,2.59,ml,26,62,0.08118,0.18,ci,ci40162687,2023-01-27T15:47:41.087Z,"14km NNE of Ridgecrest, CA",earthquake,0.27,0.57,0.212,26,automatic,ci,ci
2023-01-27T14:37:44.850Z,19.2668333333333,-66.6906666666667,83.01,3.25,md,10,239,0.9173,0.11,pr,pr71394633,2023-01-27T15:14:45.610Z,"87 km N of Carrizales, Puerto Rico",earthquake,1.56,2.86,0.0422957768183749,6,reviewed,pr,pr
2023-01-27T11:06:54.630Z,18.7795,-64.3253,33,4.6,ml,21,217,0.7621,0.46,pr,pr2023027001,2023-01-27T18:56:35.897Z,"70 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,2.76,9.97,0.08,13,reviewed,pr,pr
2023-01-27T10:56:36.558Z,-19.7378,-69.2278,118.092,4.3,mb,31,79,0.076,1.03,us,us6000jjn7,2023-01-27T17:10:45.620Z,"109 km ENE of Iquique, Chile",earthquake,5.99,5.736,0.122,19,reviewed,us,us
2023-01-27T10:51:18.438Z,-16.5691,-69.7504,195.543,4.5,mb,69,105,1.047,0.82,us,us6000jjn6,2023-01-27T14:03:57.040Z,"19 km N of Mazo Cruz, Peru",earthquake,7.09,4.387,0.078,48,reviewed,us,us
2023-01-27T10:28:22.080Z,40.588,-124.1238333,17.1,3.23,ml,40,29,0.01759,0.15,nc,nc73838231,2023-01-27T21:19:43.218Z,"3km ESE of Fortuna, CA",earthquake,0.19,0.34,0.285,61,reviewed,nc,nc
2023-01-27T09:36:37.331Z,30.5496,50.3913,10,4.4,mb,62,80,7.594,0.57,us,us6000jjmx,2023-01-27T11:10:06.040Z,"15 km ESE of Behbahān, Iran",earthquake,8.75,1.875,0.086,39,reviewed,us,us
2023-01-27T08:22:30.431Z,40.3749,-127.1251,10,3.3,ml,97,247,2.295,1.01,us,us6000jjml,2023-01-27T21:31:11.811Z,"243 km W of Ferndale, California",earthquake,2.28,2.017,0.038,90,reviewed,us,us
2023-01-27T07:12:04.610Z,1.6595,99.459,174.233,4.3,mb,36,109,1.916,0.63,us,us6000jjmh,2023-01-27T07:32:01.040Z,"northern Sumatra, Indonesia",earthquake,7.82,9.521,0.111,23,reviewed,us,us
2023-01-27T05:29:21.314Z,-49.5504,117.4545,10,5,mb,32,145,16.609,0.56,us,us6000jjm1,2023-01-27T05:47:50.040Z,"western Indian-Antarctic Ridge",earthquake,15.42,1.926,0.107,28,reviewed,us,us
2023-01-27T04:47:14.290Z,31.73685144,-104.1109004,6.915661621,2.9,ml,52,34,0.03873218515,0.2,tx,tx2023bvwo,2023-01-27T21:16:39.307Z,"48 km W of Mentone, Texas",earthquake,0.3662815036,0.5114704917,0,7,reviewed,tx,tx
2023-01-27T04:34:38.938Z,5.0199,-76.2029,103.42,4.5,mb,40,95,1.343,0.7,us,us6000jjlq,2023-01-27T12:24:35.798Z,"14 km NNE of San José del Palmar, Colombia",earthquake,7.06,8.868,0.085,40,reviewed,us,us
2023-01-27T04:24:06.489Z,2.5703,95.8843,27.512,4.3,mb,17,202,2.107,1.18,us,us6000jjls,2023-01-27T05:16:12.040Z,"56 km W of Sinabang, Indonesia",earthquake,7.43,7.568,0.178,9,reviewed,us,us
2023-01-27T03:49:40.180Z,8.9232,-82.8946,10.558,3.4,ml,10,110,0.241,0.44,us,us6000jjlg,2023-01-27T07:28:37.054Z,"12 km NNW of Río Sereno, Panama",earthquake,3.22,8.547,0.091,16,reviewed,us,us
2023-01-27T03:49:35.280Z,19.0359992980957,-155.410995483398,32.939998626709,2.47000003,md,35,211,,0.159999996,hv,hv73313672,2023-01-27T03:53:02.490Z,"Island of Hawaii, Hawaii",earthquake,0.74,1.37,1.04999995,8,automatic,hv,hv
2023-01-27T03:27:55.060Z,17.979,-66.9143333333333,11.71,2.68,md,14,125,0.00866,0.24,pr,pr71394593,2023-01-27T03:52:49.890Z,"0 km S of Fuig, Puerto Rico",earthquake,0.71,0.76,0.357987080017138,10,reviewed,pr,pr
2023-01-27T03:25:42.560Z,18.3245,-67.9785,157,3.42,md,9,329,0.879,0.41,pr,pr2023027000,2023-01-27T09:14:47.963Z,"Mona Passage",earthquake,5.46,2.47,0.07,4,reviewed,pr,pr
2023-01-27T03:21:35.761Z,13.7912,120.5476,110.676,4.5,mb,34,111,8.312,0.5,us,us6000jjlk,2023-01-27T04:14:12.040Z,"10 km WSW of Calatagan, Philippines",earthquake,8,8.337,0.08,46,reviewed,us,us
2023-01-27T02:19:24.080Z,18.3288333333333,-67.9845,97.86,3.4,md,18,129,0.2556,0.43,pr,pr71394573,2023-01-27T03:04:46.040Z,"52 km ESE of Punta Cana, Dominican Republic",earthquake,2.35,1.43,0.172054740629012,10,reviewed,pr,pr
2023-01-27T02:15:29.370Z,18.1185,-67.1396666666667,12.9,3.03,md,13,164,0.02549,0.1,pr,pr71394563,2023-01-27T11:56:23.367Z,"2 km SSW of Hormigueros, Puerto Rico",earthquake,0.4,0.34,0.0818759333288717,5,reviewed,pr,pr
2023-01-27T01:20:17.750Z,17.9658333333333,-67.3873333333333,23.43,2.68,md,9,261,0.2674,0.19,pr,pr71394558,2023-01-27T01:48:05.250Z,"21 km W of Pole Ojea, Puerto Rico",earthquake,1.22,2.23,0.0386919750311465,5,reviewed,pr,pr
2023-01-27T00:55:01.673Z,60.5478,-146.9078,19.5,2.8,ml,,,,0.67,ak,ak02318nu5un,2023-01-27T03:22:51.040Z,"37 km SSW of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-01-27T00:10:43.268Z,41.4478,77.4532,10,4.6,mb,33,76,0.385,0.37,us,us6000jjkp,2023-01-27T03:13:34.784Z,"80 km SSE of Kadzhi-Say, Kyrgyzstan",earthquake,5.1,1.913,0.114,23,reviewed,us,us
2023-01-26T23:38:18.445Z,36.6674,67.7,59.493,4,mb,30,127,2.242,0.66,us,us6000jjkl,2023-01-27T03:03:00.040Z,"3 km S of Khulm, Afghanistan",earthquake,4.18,14.841,0.173,9,reviewed,us,us
2023-01-26T22:16:18.717Z,-17.0039,-71.5028,94.822,4.3,mb,24,147,1.753,0.66,us,us6000jjk4,2023-01-27T02:54:43.040Z,"28 km ENE of Cocachacra, Peru",earthquake,9.87,12.943,0.188,8,reviewed,us,us
2023-01-26T21:25:53.470Z,18.5718333333333,-67.352,16.07,2.81,md,19,245,0.2158,0.29,pr,pr71394533,2023-01-26T22:09:21.530Z,"Mona Passage",earthquake,0.88,0.71,0.015707070712923,4,reviewed,pr,pr
2023-01-26T20:50:14.207Z,62.9547,-149.6454,76.5,3.9,ml,,,,0.71,ak,ak02317c6fu9,2023-01-27T20:53:05.818Z,"Central Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-01-26T20:39:41.340Z,19.153,-155.372,30.08,3.1,ml,54,179,,0.13,hv,hv73313432,2023-01-27T15:33:57.040Z,"12 km ESE of Pāhala, Hawaii",earthquake,0.43,0.57,0.157222504237573,38,reviewed,hv,hv
2023-01-26T19:30:46.687Z,57.338,-33.2601,10,5.3,mww,62,81,7.313,0.72,us,us6000jjj3,2023-01-26T19:46:23.040Z,"Reykjanes Ridge",earthquake,9.15,1.894,0.086,13,reviewed,us,us
2023-01-26T19:17:03.712Z,57.3763,-33.374,10,5.2,mww,103,61,7.241,0.87,us,us6000jjj0,2023-01-26T19:51:10.040Z,"Reykjanes Ridge",earthquake,5.65,1.861,0.048,41,reviewed,us,us
2023-01-26T18:53:06.320Z,58.2445,-155.1756,37.2,2.7,ml,,,,0.8,ak,ak02317b0760,2023-01-27T15:08:57.040Z,"Alaska Peninsula",earthquake,,7.5,,,automatic,ak,ak
2023-01-26T17:55:29.330Z,-12.4691,166.9634,212.274,4.9,mb,63,26,8.436,0.65,us,us6000jjim,2023-01-27T14:56:48.040Z,"168 km NNW of Sola, Vanuatu",earthquake,10.35,5.8,0.034,278,reviewed,us,us
2023-01-26T17:25:59.107Z,2.8087,126.8523,40.28,4.6,mb,49,118,2.088,0.94,us,us6000jjik,2023-01-27T14:50:25.040Z,"175 km NW of Tobelo, Indonesia",earthquake,12.92,7.382,0.084,42,reviewed,us,us
2023-01-26T16:41:36.896Z,50.6252,-172.6345,13.384,5.1,mww,167,135,1.888,0.8,us,us6000jjid,2023-01-27T19:26:50.747Z,"205 km SSE of Atka, Alaska",earthquake,7.39,4.475,0.069,20,reviewed,us,us
2023-01-26T16:04:56.294Z,30.5315,137.5483,480.991,4.5,mb,141,44,3.218,0.51,us,us6000jjgm,2023-01-26T16:27:07.040Z,"Izu Islands, Japan region",earthquake,9.43,7.3,0.05,118,reviewed,us,us
2023-01-26T15:57:01.678Z,-5.6296,154.2556,128.292,4.5,mb,110,86,2.527,0.55,us,us6000jjgk,2023-01-27T19:58:04.040Z,"155 km WNW of Panguna, Papua New Guinea",earthquake,9.27,6.964,0.057,98,reviewed,us,us
2023-01-26T15:33:37.148Z,-22.2328,-67.309,189.68,4.4,mb,31,67,1.076,1.24,us,us6000jjg6,2023-01-27T19:44:13.040Z,"118 km NE of San Pedro de Atacama, Chile",earthquake,8,9.715,0.202,7,reviewed,us,us
2023-01-26T14:19:02.828Z,-17.8522,-173.4025,35,4.8,mb,16,203,0.975,1.09,us,us6000jjfu,2023-01-26T14:38:13.040Z,"107 km NE of Neiafu, Tonga",earthquake,9.66,1.991,0.135,17,reviewed,us,us
2023-01-26T14:18:54.914Z,61.307,-146.8654,20.2,2.6,ml,,,,0.81,ak,ak023178f2fd,2023-01-26T16:20:52.040Z,"34 km NW of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-01-26T13:56:50.123Z,23.2115,123.3863,10,4.9,mb,47,108,1.296,0.99,us,us6000jjfs,2023-01-26T14:28:00.040Z,"144 km SSE of Yonakuni, Japan",earthquake,7.31,1.899,0.058,94,reviewed,us,us
2023-01-26T13:05:39.821Z,11.6697,43.9143,10,4.8,mb,45,59,1.055,0.46,us,us6000jjdl,2023-01-26T19:08:28.050Z,"75 km ESE of Obock, Djibouti",earthquake,4.77,1.919,0.088,40,reviewed,us,us
2023-01-26T11:03:18.202Z,32.7456665,-100.6529869,6.773966471,3.2,ml,14,52,0.08126137193,0.2,tx,tx2023bunm,2023-01-26T17:01:07.199Z,"15 km NE of Hermleigh, Texas",earthquake,0.9115434057,1.49586334,0,8,reviewed,tx,tx
2023-01-26T10:47:42.549Z,32.75115967,-100.6594179,6.284871419,2.6,ml,19,70,0.08173564011,0.2,tx,tx2023bumz,2023-01-26T14:09:46.489Z,"15 km NE of Hermleigh, Texas",earthquake,0.9354768342,1.148396198,0,10,reviewed,tx,tx
2023-01-26T10:45:53.633Z,-30.254,-178.6685,135.699,6,mww,70,34,1.184,1.08,us,us6000jjcy,2023-01-27T10:49:03.702Z,"Kermadec Islands, New Zealand",earthquake,10.36,4.873,0.055,32,reviewed,us,us
2023-01-26T09:11:56.320Z,19.1126,-66.3113,28,3.46,md,15,252,0.6719,0.22,pr,pr2023026000,2023-01-26T10:39:42.859Z,"71 km N of Brenas, Puerto Rico",earthquake,0.94,8.43,0.08,11,reviewed,pr,pr
2023-01-26T07:58:05.400Z,32.9615,-116.3011667,10.43,2.5,ml,89,38,0.007128,0.2,ci,ci40162055,2023-01-27T05:39:41.258Z,"26km SW of Ocotillo Wells, CA",earthquake,0.12,0.32,0.145,97,reviewed,ci,ci
2023-01-26T07:06:03.930Z,38.8055,-122.8088303,1.28,2.51,md,12,75,0.01085,0.02,nc,nc73837546,2023-01-26T15:09:38.849Z,"6km NW of The Geysers, CA",earthquake,0.28,0.6,0.16,12,automatic,nc,nc
2023-01-26T06:33:44.558Z,2.874,127.1574,59.198,4.9,mb,58,109,2.099,0.66,us,us6000jjce,2023-01-26T06:54:28.040Z,"158 km NW of Tobelo, Indonesia",earthquake,8.75,8.121,0.082,53,reviewed,us,us
2023-01-26T05:45:14.274Z,31.69239017,-104.2946447,7.211303711,2.5,ml,40,53,0.03281065394,0.2,tx,tx2023bucz,2023-01-26T15:39:15.202Z,"54 km S of Whites City, New Mexico",earthquake,0.5627139588,0.6828260451,0.1,25,reviewed,tx,tx
2023-01-26T04:29:44.168Z,-0.1167,-77.4795,10,4.1,mb,16,119,0.294,0.69,us,us6000jjbm,2023-01-26T23:06:23.040Z,"Ecuador",earthquake,2.7,1.981,0.261,4,reviewed,us,us
2023-01-26T04:23:51.406Z,2.8733,126.965,35,5.7,mww,91,38,2.126,0.85,us,us6000jjbj,2023-01-27T04:27:29.871Z,"171 km NW of Tobelo, Indonesia",earthquake,8.47,1.887,0.061,26,reviewed,us,us
2023-01-26T04:16:05.490Z,16.6078,-25.6214,10,5.3,mb,76,43,9.079,0.59,us,us6000jjbh,2023-01-27T00:56:34.017Z,"74 km SW of Porto Novo, Cabo Verde",earthquake,10.04,1.833,0.026,502,reviewed,us,us
2023-01-26T04:07:54.913Z,-30.4621,-178.5405,35,4.5,mb,13,155,1.312,0.52,us,us6000jjbd,2023-01-26T22:48:32.040Z,"Kermadec Islands, New Zealand",earthquake,11.74,1.973,0.191,12,reviewed,us,us
2023-01-26T03:16:21.963Z,-1.9745,-79.9816,77.663,4.6,mb,26,136,0.474,0.46,us,us6000jjb9,2023-01-26T22:45:49.040Z,"Ecuador",earthquake,4.87,8.251,0.165,11,reviewed,us,us
2023-01-26T01:41:56.653Z,36.0873,70.2599,128.709,4.1,mb,20,80,1.836,0.47,us,us6000jjb5,2023-01-26T05:44:43.040Z,"64 km SSE of Farkhār, Afghanistan",earthquake,7.14,14.751,0.214,6,reviewed,us,us
2023-01-26T01:26:19.840Z,19.1836666666667,-155.4955,34.29,2.7,ml,50,88,,0.12,hv,hv73312942,2023-01-27T00:27:02.811Z,"2 km SW of Pāhala, Hawaii",earthquake,0.43,0.57,0.224166470596844,25,reviewed,hv,hv
2023-01-26T01:17:00.960Z,-16.9679,-69.5808,190.929,4.3,mb,22,104,0.626,0.54,us,us6000jjb1,2023-01-26T22:43:08.040Z,"Peru-Bolivia border region",earthquake,6.52,7.171,0.2,7,reviewed,us,us
2023-01-26T01:11:28.150Z,36.7775,-121.4841667,4.73,2.81,md,76,49,0.02466,0.17,nc,nc73837451,2023-01-27T04:36:18.330Z,"9km SSE of San Juan Bautista, CA",earthquake,0.17,0.24,0.164,118,reviewed,nc,nc
2023-01-26T00:45:03.840Z,18.0883333333333,-66.0526666666667,21.82,2.5,md,16,115,0.09485,0.15,pr,pr71394463,2023-01-26T01:19:38.330Z,"6 km N of Yaurel, Puerto Rico",earthquake,0.34,0.64,0.13446569324196,10,reviewed,pr,pr
2023-01-25T23:38:27.512Z,12.48,40.5288,10,4.3,mb,36,105,2.456,0.55,us,us6000jjan,2023-01-26T00:31:17.040Z,"92 km NW of Semera, Ethiopia",earthquake,12.28,1.942,0.102,27,reviewed,us,us
2023-01-25T23:23:43.160Z,40.392,-125.2368333,9.72,2.6,md,43,251,0.6913,0.25,nc,nc73837406,2023-01-26T08:58:12.365Z,"81km W of Petrolia, CA",earthquake,1.14,31.61,0.234,36,reviewed,nc,nc
2023-01-25T23:21:33.679Z,29.7569,102.0783,10,4.9,mb,85,56,8.557,0.88,us,us6000jjai,2023-01-25T23:40:14.040Z,"29 km SSE of Kangding, China",earthquake,7.12,1.599,0.066,72,reviewed,us,us
2023-01-25T23:14:42.540Z,-24.019,179.9833,514.333,4.5,mb,64,66,5.548,0.77,us,us6000jjae,2023-01-25T23:43:49.040Z,"south of the Fiji Islands",earthquake,12.3,6.883,0.053,105,reviewed,us,us
2023-01-25T22:27:31.440Z,20.216,146.1963,35,4.7,mb,58,134,17.192,0.52,us,us6000jja4,2023-01-25T23:12:17.040Z,"Mariana Islands region",earthquake,11.73,1.927,0.07,62,reviewed,us,us
2023-01-25T21:53:05.590Z,37.507,72.2651,191.644,4,mb,25,132,2.001,0.4,us,us6000jj9h,2023-01-25T22:25:37.040Z,"61 km N of Khandūd, Afghanistan",earthquake,7.35,11.224,0.156,11,reviewed,us,us
2023-01-25T21:19:09.400Z,29.7984,102.0643,10,4.4,mb,51,76,6.459,0.96,us,us6000jj9c,2023-01-25T22:09:23.040Z,"Western Sichuan, China",earthquake,6.24,1.887,0.092,34,reviewed,us,us
2023-01-25T20:57:21.130Z,29.6191,102.1184,10,4.4,mb,28,78,6.434,0.75,us,us6000jj97,2023-01-27T16:49:59.040Z,"45 km SSE of Kangding, China",earthquake,8.23,1.501,0.126,18,reviewed,us,us
2023-01-25T20:51:10.639Z,29.6746,102.1543,10,4.4,mb,39,56,6.396,0.7,us,us6000jj94,2023-01-27T16:52:37.040Z,"41 km SSE of Kangding, China",earthquake,9.12,1.9,0.108,25,reviewed,us,us
2023-01-25T20:30:44.433Z,29.7128,102.0765,10,4.5,mb,23,76,6.458,0.88,us,us6000jj99,2023-01-27T16:22:09.040Z,"34 km SSE of Kangding, China",earthquake,10.9,1.937,0.164,11,reviewed,us,us
2023-01-25T20:13:06.656Z,-28.3524,-175.9795,10,5,mb,38,121,14.103,1.02,us,us6000jj8y,2023-01-25T20:45:54.040Z,"Kermadec Islands region",earthquake,13.92,1.447,0.1,32,reviewed,us,us
2023-01-25T19:49:45.325Z,29.7656,102.0473,10,5.5,mww,118,27,8.571,0.77,us,us6000jj8s,2023-01-26T20:04:09.438Z,"27 km SSE of Kangding, China",earthquake,8.32,1.763,0.063,24,reviewed,us,us
2023-01-25T19:31:08.670Z,2.8058,127.3046,50.39,4.5,mb,48,145,2.021,0.91,us,us6000jj8q,2023-01-27T16:06:24.040Z,"Molucca Sea",earthquake,11.14,8.879,0.087,39,reviewed,us,us
2023-01-25T17:43:57.530Z,38.8208333,-122.795,2.96,2.89,md,75,22,0.01205,0.05,nc,nc73837161,2023-01-27T15:57:48.040Z,"6km NW of The Geysers, CA",earthquake,0.11,0.15,0.133,58,reviewed,nc,nc
2023-01-25T17:17:43.240Z,19.0496666666667,-155.4255,37.08,3.21,ml,51,202,,0.13,hv,hv73312697,2023-01-27T15:38:42.040Z,"Island of Hawaii, Hawaii",earthquake,0.45,0.64,0.155844321592699,38,reviewed,hv,hv
2023-01-25T16:02:10.344Z,35.7891,79.8617,10,5.3,mb,160,36,5.833,0.73,us,us6000jj6p,2023-01-25T20:47:41.723Z,"146 km S of Hotan, China",earthquake,7.16,1.832,0.042,191,reviewed,us,us
2023-01-25T15:51:50.966Z,2.8851,126.9928,45.547,4.6,mb,24,118,2.132,0.95,us,us6000jj7q,2023-01-25T16:40:49.040Z,"170 km NW of Tobelo, Indonesia",earthquake,8.72,8.392,0.116,22,reviewed,us,us
2023-01-25T15:13:35.862Z,57.5059,-154.934,40.5,3.9,ml,,,,0.68,ak,ak02315lg1dw,2023-01-25T15:36:22.040Z,"Kodiak Island region, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-01-25T15:09:34.409Z,-31.4512,-178.1953,37.76,5,mb,53,62,6.745,0.9,us,us6000jj6h,2023-01-25T15:52:20.040Z,"Kermadec Islands region",earthquake,11.56,6.045,0.085,44,reviewed,us,us
2023-01-25T14:12:54.029Z,-6.1056,155.1407,158.785,4.8,mww,140,52,5.801,1.11,us,us6000jj6a,2023-01-25T14:32:46.040Z,"44 km WNW of Panguna, Papua New Guinea",earthquake,3.67,6.459,0.098,10,reviewed,us,us
2023-01-25T13:48:26.826Z,44.9052,80.9957,10,4.1,mb,20,189,1.916,0.72,us,us6000jj63,2023-01-27T15:33:14.040Z,"95 km N of Huocheng, China",earthquake,5.16,1.991,0.369,2,reviewed,us,us
2023-01-25T13:19:39.197Z,55.754,-158.5617,56.2,2.5,ml,,,,0.4,ak,ak02315kagu7,2023-01-27T16:01:19.040Z,"40 km ESE of Perryville, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-01-25T13:13:38.222Z,41.2102,84.2142,10,4.6,mb,33,102,4.098,0.68,us,us6000jj5y,2023-01-27T15:08:46.040Z,"southern Xinjiang, China",earthquake,9.05,1.934,0.164,11,reviewed,us,us
2023-01-25T12:46:17.709Z,-5.5069,153.6635,42.747,4.6,mb,30,173,7.522,0.84,us,us6000jj5v,2023-01-25T13:12:13.040Z,"201 km SE of Kokopo, Papua New Guinea",earthquake,13.74,9.073,0.11,25,reviewed,us,us
2023-01-25T12:37:05.514Z,35.7757,28.5931,25.889,5.9,mww,126,34,0.581,1.35,us,us6000jj5k,2023-01-26T12:41:20.176Z,"62 km SE of Lárdos, Greece",earthquake,6.11,4.203,0.049,40,reviewed,us,us
2023-01-25T12:01:53.650Z,19.1658333333333,-155.502,35.05,2.74,md,38,116,,0.11,hv,hv73312562,2023-01-25T21:35:12.190Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.57,0.64,0.0760695349977749,15,reviewed,hv,hv
2023-01-25T10:45:35.681Z,-20.2971,-177.6661,494.538,4.4,mb,36,132,2.463,0.6,us,us6000jj4m,2023-01-25T11:12:25.040Z,"Fiji region",earthquake,18.74,12.204,0.103,27,reviewed,us,us
2023-01-25T10:39:15.740Z,18.3958,-68.8306,140,3.84,md,11,237,0.4645,0.46,pr,pr2023025003,2023-01-25T12:19:27.040Z,"15 km ESE of La Romana, Dominican Republic",earthquake,5.34,2.16,0.11,6,reviewed,pr,pr
2023-01-25T10:38:48.100Z,33.8978333,-118.6956667,13.44,2.75,ml,84,150,0.1409,0.21,ci,ci40161431,2023-01-26T17:07:39.997Z,"15km S of Malibu Beach, CA",earthquake,0.27,0.49,0.139,131,reviewed,ci,ci
2023-01-25T10:22:32.970Z,33.883,-118.6923333,10.98,2.9,ml,91,151,0.1541,0.23,ci,ci40161407,2023-01-26T06:07:48.272Z,"17km S of Malibu Beach, CA",earthquake,0.26,0.43,0.131,142,reviewed,ci,ci
2023-01-25T10:03:33.360Z,33.8863333,-118.7026667,13.83,3.61,ml,127,134,0.1462,0.24,ci,ci40161287,2023-01-27T09:24:41.705Z,"16km S of Malibu Beach, CA",earthquake,0.27,0.48,0.14,192,reviewed,ci,ci
2023-01-25T10:01:41.890Z,35.8515,-97.19116667,7.98,3.53,ml,84,46,0,0.12,ok,ok2023bspx,2023-01-26T11:12:28.446Z,"Oklahoma",earthquake,,0.3,0.26,43,reviewed,ok,ok
2023-01-25T10:00:54.680Z,33.885,-118.7045,14.71,4.19,mw,155,134,0.1464,0.24,ci,ci40161279,2023-01-27T19:47:02.505Z,"16km S of Malibu Beach, CA",earthquake,0.25,0.35,,6,reviewed,ci,ci
2023-01-25T09:11:39.331Z,-3.4826,-80.7592,34.065,4.4,mb,41,159,0.694,0.63,us,us6000jj3z,2023-01-25T10:16:21.040Z,"23 km NNW of Zorritos, Peru",earthquake,5.18,6.692,0.109,24,reviewed,us,us
2023-01-25T08:35:29.410Z,19.1471666666667,-155.369,30.36,3.59,ml,58,182,,0.12,hv,hv73312432,2023-01-27T15:48:27.868Z,"13 km ESE of Pāhala, Hawaii",earthquake,0.64,0.61,0.163036064746707,40,reviewed,hv,hv
2023-01-25T08:22:59.880Z,19.4056,-65.8381,27,3.9,md,20,250,1.1237,0.39,pr,pr2023025002,2023-01-25T10:04:09.040Z,"107 km NNE of San Juan, Puerto Rico",earthquake,1.7,26.68,0.12,15,reviewed,pr,pr
2023-01-25T07:48:18.020Z,37.5478333,-118.8758333,6.66,2.55,md,28,63,0.05615,0.02,nc,nc73836951,2023-01-27T00:26:17.839Z,"13km SE of Mammoth Lakes, CA",earthquake,0.24,0.62,0.181,46,reviewed,nc,nc
2023-01-25T07:37:56.570Z,19.2271671295166,-155.42399597168,31.9300003051758,2.69000006,md,20,197,,0.100000001,hv,hv73312382,2023-01-25T08:48:53.757Z,"Island of Hawaii, Hawaii",earthquake,1.56,0.949999988,0.889999986,3,automatic,hv,hv
2023-01-25T06:46:52.520Z,18.5828,-66.7998,13,3.63,md,20,207,0.2406,0.22,pr,pr2023025001,2023-01-25T07:08:38.935Z,"11 km NNE of Hatillo, Puerto Rico",earthquake,0.69,0.7,0.15,18,reviewed,pr,pr
2023-01-25T05:16:33.720Z,18.1205,-67.1388333333333,12.09,2.99,md,17,114,0.02335,0.11,pr,pr71394363,2023-01-25T22:20:48.752Z,"2 km SSW of Hormigueros, Puerto Rico",earthquake,0.33,0.38,0.196247813405903,10,reviewed,pr,pr
2023-01-25T05:15:30.147Z,12.9459,-88.7273,67.408,4.6,mwr,119,135,0.789,0.99,us,us6000jj31,2023-01-25T17:21:50.760Z,"offshore El Salvador",earthquake,5.69,5.72,0.083,14,reviewed,us,us
